pup_id year mother_age survival litter_size mother_id rodent_index
45 2007 3 1 7 639 64.5
46 2007 3 1 7 639 64.5
47 2007 3 1 7 639 64.5
48 2007 3 1 7 639 64.5
49 2007 3 1 7 639 64.5
50 2007 3 1 7 639 64.5
51 2007 3 1 7 639 64.5
35 2007 3 1 9 1218 64.5
36 2007 3 1 9 1218 64.5
37 2007 3 1 9 1218 64.5
38 2007 3 1 9 1218 64.5
39 2007 3 1 9 1218 64.5
40 2007 3 1 9 1218 64.5
41 2007 3 1 9 1218 64.5
42 2007 3 1 9 1218 64.5
53 2007 3 1 9 1218 64.5
43 2007 1 1 4 1009 64.5
44 2007 1 1 4 1009 64.5
551 2007 1 0 4 1009 64.5
552 2007 1 0 4 1009 64.5
58 2008 4 1 10 1218 0
59 2008 4 1 10 1218 0
60 2008 4 1 10 1218 0
61 2008 4 1 10 1218 0
62 2008 4 1 10 1218 0
63 2008 4 1 10 1218 0
64 2008 4 1 10 1218 0
65 2008 4 1 10 1218 0
66 2008 4 1 10 1218 0
67 2008 4 1 10 1218 0
558 2008 3 0 5 1222 0
559 2008 3 0 5 1222 0
560 2008 3 0 5 1222 0
561 2008 3 0 5 1222 0
562 2008 3 0 5 1222 0
68 2008 2 1 11 1009 0
69 2008 2 1 11 1009 0
70 2008 2 1 11 1009 0
71 2008 2 1 11 1009 0
72 2008 2 1 11 1009 0
73 2008 2 1 11 1009 0
74 2008 2 1 11 1009 0
75 2008 2 1 11 1009 0
76 2008 2 1 11 1009 0
77 2008 2 1 11 1009 0
78 2008 2 1 11 1009 0
79 2008 1 1 5 1104 0
80 2008 1 1 5 1104 0
81 2008 1 1 5 1104 0
87 2008 1 1 5 1104 0
88 2008 1 1 5 1104 0
96 2009 5 1 8 1218 2
97 2009 5 1 8 1218 2
98 2009 5 1 8 1218 2
99 2009 5 1 8 1218 2
100 2009 5 1 8 1218 2
101 2009 5 1 8 1218 2
102 2009 5 1 8 1218 2
128 2009 5 1 8 1218 2
123 2009 4 1 7 1222 2
124 2009 4 1 7 1222 2
125 2009 4 1 7 1222 2
126 2009 4 1 7 1222 2
127 2009 4 1 7 1222 2
129 2009 4 1 7 1222 2
515 2009 4 0 7 1222 2
103 2009 3 1 7 1009 2
104 2009 3 1 7 1009 2
105 2009 3 1 7 1009 2
106 2009 3 1 7 1009 2
107 2009 3 1 7 1009 2
108 2009 3 1 7 1009 2
109 2009 3 1 7 1009 2
110 2009 2 1 8 622 2
111 2009 2 1 8 622 2
112 2009 2 1 8 622 2
118 2009 2 1 8 622 2
119 2009 2 1 8 622 2
120 2009 2 1 8 622 2
121 2009 2 1 8 622 2
122 2009 2 1 8 622 2
86 2009 2 1 7 1104 2
89 2009 2 1 7 1104 2
90 2009 2 1 7 1104 2
91 2009 2 1 7 1104 2
92 2009 2 1 7 1104 2
94 2009 2 1 7 1104 2
95 2009 2 1 7 1104 2
195 2010 6 1 6 639 26.5
196 2010 6 1 6 639 26.5
197 2010 6 1 6 639 26.5
198 2010 6 1 6 639 26.5
199 2010 6 1 6 639 26.5
200 2010 6 1 6 639 26.5
130 2010 6 1 13 1218 26.5
131 2010 6 1 13 1218 26.5
132 2010 6 1 13 1218 26.5
133 2010 6 1 13 1218 26.5
134 2010 6 1 13 1218 26.5
135 2010 6 1 13 1218 26.5
136 2010 6 1 13 1218 26.5
137 2010 6 1 13 1218 26.5
138 2010 6 1 13 1218 26.5
185 2010 6 1 13 1218 26.5
186 2010 6 1 13 1218 26.5
193 2010 6 1 13 1218 26.5
194 2010 6 1 13 1218 26.5
172 2010 5 1 8 1222 26.5
173 2010 5 1 8 1222 26.5
174 2010 5 1 8 1222 26.5
175 2010 5 1 8 1222 26.5
176 2010 5 1 8 1222 26.5
177 2010 5 1 8 1222 26.5
178 2010 5 1 8 1222 26.5
179 2010 5 1 8 1222 26.5
139 2010 4 1 14 1009 26.5
140 2010 4 1 14 1009 26.5
141 2010 4 1 14 1009 26.5
142 2010 4 1 14 1009 26.5
143 2010 4 1 14 1009 26.5
144 2010 4 1 14 1009 26.5
145 2010 4 1 14 1009 26.5
146 2010 4 1 14 1009 26.5
147 2010 4 1 14 1009 26.5
148 2010 4 1 14 1009 26.5
149 2010 4 1 14 1009 26.5
150 2010 4 1 14 1009 26.5
151 2010 4 1 14 1009 26.5
152 2010 4 1 14 1009 26.5
153 2010 3 1 11 622 26.5
154 2010 3 1 11 622 26.5
155 2010 3 1 11 622 26.5
156 2010 3 1 11 622 26.5
157 2010 3 1 11 622 26.5
158 2010 3 1 11 622 26.5
159 2010 3 1 11 622 26.5
160 2010 3 1 11 622 26.5
161 2010 3 1 11 622 26.5
162 2010 3 1 11 622 26.5
163 2010 3 1 11 622 26.5
180 2010 3 1 5 1104 26.5
181 2010 3 1 5 1104 26.5
182 2010 3 1 5 1104 26.5
183 2010 3 1 5 1104 26.5
184 2010 3 1 5 1104 26.5
187 2010 2 1 6 1199 26.5
188 2010 2 1 6 1199 26.5
189 2010 2 1 6 1199 26.5
190 2010 2 1 6 1199 26.5
191 2010 2 1 6 1199 26.5
192 2010 2 1 6 1199 26.5
93 2010 1 1 7 1214 26.5
113 2010 1 1 7 1214 26.5
167 2010 1 1 7 1214 26.5
168 2010 1 1 7 1214 26.5
169 2010 1 1 7 1214 26.5
170 2010 1 1 7 1214 26.5
171 2010 1 1 7 1214 26.5
216 2011 7 1 3 1218 2
217 2011 7 1 3 1218 2
218 2011 7 1 3 1218 2
237 2011 6 1 1 1222 2
219 2011 5 1 12 1009 2
220 2011 5 1 12 1009 2
221 2011 5 1 12 1009 2
222 2011 5 1 12 1009 2
223 2011 5 1 12 1009 2
224 2011 5 1 12 1009 2
225 2011 5 1 12 1009 2
226 2011 5 1 12 1009 2
227 2011 5 1 12 1009 2
228 2011 5 1 12 1009 2
229 2011 5 1 12 1009 2
230 2011 5 1 12 1009 2
201 2011 4 1 10 1104 2
202 2011 4 1 10 1104 2
203 2011 4 1 10 1104 2
204 2011 4 1 10 1104 2
205 2011 4 1 10 1104 2
206 2011 4 1 10 1104 2
569 2011 4 0 10 1104 2
570 2011 4 0 10 1104 2
571 2011 4 0 10 1104 2
572 2011 4 0 10 1104 2
207 2011 3 1 9 1199 2
209 2011 3 1 9 1199 2
210 2011 3 1 9 1199 2
211 2011 3 1 9 1199 2
212 2011 3 1 9 1199 2
213 2011 3 1 9 1199 2
214 2011 3 1 9 1199 2
215 2011 3 1 9 1199 2
568 2011 3 0 9 1199 2
231 2011 2 1 6 1214 2
232 2011 2 1 6 1214 2
233 2011 2 1 6 1214 2
234 2011 2 1 6 1214 2
235 2011 2 1 6 1214 2
236 2011 2 1 6 1214 2
238 2011 1 1 6 1036 2
239 2011 1 1 6 1036 2
240 2011 1 1 6 1036 2
241 2011 1 1 6 1036 2
242 2011 1 1 6 1036 2
243 2011 1 1 6 1036 2
258 2012 8 1 3 1218 0
259 2012 8 1 3 1218 0
260 2012 8 1 3 1218 0
249 2012 7 1 8 1222 0
250 2012 7 1 8 1222 0
251 2012 7 1 8 1222 0
255 2012 7 1 8 1222 0
277 2012 7 0 8 1222 0
278 2012 7 0 8 1222 0
279 2012 7 0 8 1222 0
280 2012 7 0 8 1222 0
270 2012 6 0 7 1009 0
271 2012 6 0 7 1009 0
272 2012 6 0 7 1009 0
273 2012 6 0 7 1009 0
274 2012 6 0 7 1009 0
275 2012 6 0 7 1009 0
276 2012 6 0 7 1009 0
261 2012 5 1 6 1104 0
262 2012 5 1 6 1104 0
263 2012 5 1 6 1104 0
264 2012 5 1 6 1104 0
265 2012 5 1 6 1104 0
266 2012 5 0 6 1104 0
267 2012 4 0 3 1199 0
268 2012 4 0 3 1199 0
269 2012 4 0 3 1199 0
252 2012 3 1 5 1214 0
253 2012 3 1 5 1214 0
254 2012 3 1 5 1214 0
256 2012 3 1 5 1214 0
257 2012 3 1 5 1214 0
245 2012 2 0 8 1036 0
246 2012 2 1 8 1036 0
247 2012 2 1 8 1036 0
248 2012 2 1 8 1036 0
281 2012 2 0 8 1036 0
282 2012 2 0 8 1036 0
283 2012 2 0 8 1036 0
284 2012 2 0 8 1036 0
165 2013 8 0 4 1222 5.8
208 2013 8 0 4 1222 5.8
285 2013 8 0 4 1222 5.8
329 2013 8 0 4 1222 5.8
300 2013 6 1 8 1104 5.8
301 2013 6 1 8 1104 5.8
302 2013 6 1 8 1104 5.8
303 2013 6 1 8 1104 5.8
304 2013 6 1 8 1104 5.8
305 2013 6 1 8 1104 5.8
306 2013 6 1 8 1104 5.8
307 2013 6 1 8 1104 5.8
315 2013 5 1 7 1199 5.8
316 2013 5 1 7 1199 5.8
317 2013 5 1 7 1199 5.8
318 2013 5 1 7 1199 5.8
319 2013 5 1 7 1199 5.8
320 2013 5 1 7 1199 5.8
321 2013 5 1 7 1199 5.8
308 2013 4 1 5 1214 5.8
309 2013 4 1 5 1214 5.8
310 2013 4 1 5 1214 5.8
311 2013 4 1 5 1214 5.8
312 2013 4 1 5 1214 5.8
286 2013 3 1 11 1036 5.8
287 2013 3 1 11 1036 5.8
288 2013 3 1 11 1036 5.8
289 2013 3 1 11 1036 5.8
290 2013 3 1 11 1036 5.8
291 2013 3 1 11 1036 5.8
292 2013 3 1 11 1036 5.8
293 2013 3 1 11 1036 5.8
294 2013 3 1 11 1036 5.8
295 2013 3 1 11 1036 5.8
328 2013 3 1 11 1036 5.8
296 2013 1 1 4 1176 5.8
297 2013 1 1 4 1176 5.8
298 2013 1 1 4 1176 5.8
299 2013 1 1 4 1176 5.8
322 2013 1 1 6 1137 5.8
323 2013 1 1 6 1137 5.8
324 2013 1 1 6 1137 5.8
325 2013 1 1 6 1137 5.8
326 2013 1 1 6 1137 5.8
327 2013 1 1 6 1137 5.8
346 2014 9 1 6 1222 4.8
347 2014 9 1 6 1222 4.8
348 2014 9 1 6 1222 4.8
349 2014 9 1 6 1222 4.8
350 2014 9 1 6 1222 4.8
355 2014 9 1 6 1222 4.8
341 2014 7 1 6 1104 4.8
342 2014 7 1 6 1104 4.8
343 2014 7 1 6 1104 4.8
345 2014 7 1 6 1104 4.8
353 2014 7 1 6 1104 4.8
354 2014 7 1 6 1104 4.8
333 2014 6 1 5 1199 4.8
334 2014 6 1 5 1199 4.8
335 2014 6 1 5 1199 4.8
351 2014 6 1 5 1199 4.8
352 2014 6 1 5 1199 4.8
337 2014 5 1 5 1214 4.8
338 2014 5 1 5 1214 4.8
339 2014 5 1 5 1214 4.8
340 2014 5 1 5 1214 4.8
344 2014 5 1 5 1214 4.8
330 2014 4 1 3 1036 4.8
331 2014 4 1 3 1036 4.8
336 2014 4 1 3 1036 4.8
332 2014 2 1 1 1137 4.8
380 2015 8 1 3 1104 1
381 2015 8 1 3 1104 1
382 2015 8 1 3 1104 1
383 2015 7 1 3 1199 1
384 2015 7 1 3 1199 1
385 2015 7 1 3 1199 1
369 2015 6 1 5 1214 1
376 2015 6 1 5 1214 1
377 2015 6 1 5 1214 1
378 2015 6 1 5 1214 1
379 2015 6 1 5 1214 1
356 2015 5 1 7 1036 1
357 2015 5 1 7 1036 1
358 2015 5 1 7 1036 1
359 2015 5 1 7 1036 1
360 2015 5 1 7 1036 1
361 2015 5 1 7 1036 1
362 2015 5 1 7 1036 1
363 2015 3 1 4 1176 1
364 2015 3 1 4 1176 1
365 2015 3 1 4 1176 1
370 2015 3 1 4 1176 1
366 2015 3 1 8 1137 1
367 2015 3 1 8 1137 1
368 2015 3 1 8 1137 1
371 2015 3 1 8 1137 1
372 2015 3 1 8 1137 1
373 2015 3 1 8 1137 1
374 2015 3 1 8 1137 1
375 2015 3 1 8 1137 1
386 2015 1 1 5 965 1
387 2015 1 0 5 965 1
388 2015 1 0 5 965 1
389 2015 1 0 5 965 1
390 2015 1 0 5 965 1
410 2016 6 0 1 1036 1.8
391 2016 4 1 9 1176 1.8
392 2016 4 1 9 1176 1.8
393 2016 4 1 9 1176 1.8
394 2016 4 1 9 1176 1.8
395 2016 4 1 9 1176 1.8
396 2016 4 1 9 1176 1.8
397 2016 4 1 9 1176 1.8
398 2016 4 1 9 1176 1.8
409 2016 4 1 9 1176 1.8
399 2016 4 1 3 1137 1.8
400 2016 4 1 3 1137 1.8
401 2016 4 1 3 1137 1.8
402 2016 2 1 7 1303 1.8
403 2016 2 1 7 1303 1.8
404 2016 2 1 7 1303 1.8
405 2016 2 1 7 1303 1.8
406 2016 2 1 7 1303 1.8
407 2016 2 1 7 1303 1.8
408 2016 2 1 7 1303 1.8
416 2017 7 0 8 1036 17.3
442 2017 7 1 8 1036 17.3
443 2017 7 1 8 1036 17.3
444 2017 7 1 8 1036 17.3
445 2017 7 1 8 1036 17.3
449 2017 7 1 8 1036 17.3
450 2017 7 1 8 1036 17.3
451 2017 7 1 8 1036 17.3
411 2017 5 1 9 1176 17.3
421 2017 5 1 9 1176 17.3
422 2017 5 1 9 1176 17.3
423 2017 5 1 9 1176 17.3
446 2017 5 1 9 1176 17.3
447 2017 5 1 9 1176 17.3
448 2017 5 1 9 1176 17.3
452 2017 5 1 9 1176 17.3
459 2017 5 1 9 1176 17.3
424 2017 5 1 5 1137 17.3
425 2017 5 1 5 1137 17.3
426 2017 5 1 5 1137 17.3
427 2017 5 1 5 1137 17.3
428 2017 5 1 5 1137 17.3
412 2017 3 1 8 965 17.3
413 2017 3 1 8 965 17.3
414 2017 3 1 8 965 17.3
415 2017 3 1 8 965 17.3
417 2017 3 1 8 965 17.3
418 2017 3 1 8 965 17.3
419 2017 3 1 8 965 17.3
420 2017 3 1 8 965 17.3
462 2017 1 0 4 1517 17.3
463 2017 1 0 4 1517 17.3
464 2017 1 0 4 1517 17.3
465 2017 1 0 4 1517 17.3
435 2017 3 1 9 1303 17.3
436 2017 3 1 9 1303 17.3
437 2017 3 1 9 1303 17.3
438 2017 3 1 9 1303 17.3
439 2017 3 1 9 1303 17.3
